No.,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
111,964,Puliyadda,2. Establishment of Leader Drain/Uranhervuma Ela,1,1,7.24069,80.65286111,,0.3 km x 1 m x 1 m,Leader Drain,"3,000.00 m-3","900,000.00",,Guidance by NRMC,0.25 Years
112,964,Puliyadda,"3. Soil and water conservation measures in Puliyadda H.M.K.B. Herath and others, 45°",2,1,7.243055556,80.65708333,"7.237556, 80.65713889
7.236972, 80.65713889",16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000.00",,Funds by the Project,"0.5 Years
0.5 Years"
113,964,Puliyadda,4. Soil and water conservation measures in Hedansak Estate (30 - 60°),1,1,7.2389712,80.6557822,,"2.5 ha
4 ha","Lock and Spills
Live fencing/SALT","400.00 m-1
250.00 m-1","1000000
1000000","7,400,000.00",,0.25 Years
114,966,Ethulgama West,1. Rennovation of five (05) Leader Drains,1,1,7.238722461,80.66027026,"7.23922967, 80.659820565
7.239899075, 80.659493069",9 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"900,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
115,966,Ethulgama West,1. Rennovation of five (05) Leader Drains,5,2,7.237756246,80.66005467,"7.237756246, 80.660054669
7.237949551, 80.659791271",,,,,,,
116,966,Ethulgama West,1. Rennovation of five (05) Leader Drains,2,3,7.236487336,80.65947878,"7.236487336, 80.65947878
7.237893155, 80.658191396",,,,,,,
117,966,Ethulgama West,1. Rennovation of five (05) Leader Drains,3,4,7.235192317,80.65914159,"7.235192317, 80.659141592
7.235978141, 80.65868039",,,,,,,
118,966,Ethulgama West,1. Rennovation of five (05) Leader Drains,4,5,7.232485995,80.65835181," 7.22816584, 80.660743686
7.231179099, 80.659363693
7.232485995, 80.65835181
7.234135516, 80.657748513 ",,,,,,,
119,966,Ethulgama West,2. Establishing a Retaining Wall 1 (Ingurugolla New),5,1,7.23814661,80.65988192,"7.23814661, 80.65988192",100 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","300,000.00",,Guidance by NRMC,0.5 Years
120,966,Ethulgama West,3. Establishing a Retaining Wall 2 (Wehigaldeniya Ela and Kumbura),2,1,7.22944336,80.66028439,"7.24411236, 80.65815442",200 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","600,000.00",,Funds by the Project,0.5 Years
121,966,Ethulgama West,4. Soil and water conservation measures in Ingurugolla Watte (35°),2,1,7.22944336,80.66028439,"7.22944336, 80.660284387",1 ha,"Stone terracing
Live fencing/SALT","2,500.00 m-1
250.00 m-1","2500000
250000",,,0.5 Years
122,966,Ethulgama West,5. Soil and water conservation measures (Ingurugolla New) (35 - 70°),Needed,1,Scattered,Scattered,,8 ha,"Lock and spills - 3 ha 
Stone terracing - 2 ha
Live fencing/SALT - 3 ha","400.00 m-1
2,500.00 m-1
250.00 m-1","1200000
5000000
750000",,Labour and other basic services by the Local community,0.5 Years
123,966,Ethulgama West,6. Soil and water conservation measures (Ingurugolla Old) (35 - 70°),Needed,1,Scattered,Scattered,,4 ha,"Stone terracing - 2 ha
Live fencing/SALT - 2 ha","2,500.00 m-1
250.00 m-1","5000000
500000",,Labour and other basic services by the Local community,0.25 Years
124,966,Ethulgama West,7. Soil and water conservation measures (Wehigaldeniya Ihalawatte) (35 - 70°),Needed,1,Scattered,Scattered,,16 ha,"Stone terracing - 3 ha
Live fencing/SALT - 10 ha
Lock and spills - 3 ha","2,500.00 m-1
250.00 m-1
400.00 m-1","7500000
2500000
1200000","28,200,000.00",Labour and other basic services by the Local community,1.5 Years
125,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,4,1,7.24402328,80.67053617,,29 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"2,900,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
126,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,1,2,7.24745599,80.67044549,,,,,,,,
127,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,3,3,7.24829847,80.66625721,,,,,,,,
128,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,1,4,7.24846467,80.66479874,,,,,,,,
129,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,1,5,7.24870545,80.66258416,,,,,,,,
130,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,1,6,7.24765773,80.66243708,,,,,,,,
